AÑO,TRIMESTRE,PROVEEDOR,No. ACCESOS FIJOS A INTERNET,PARTICIPACIÓN
2023,2,AUFI S.A.S,56,0
2022,3,GPM ELECTROCOM S.A.S.,582,"0,01"
2023,2,SERVICIOS TECNOLOGICOS DEL CHOCO S.A.S,70,0
2023,2,FIBRAZO S.A.S,1537,"0,02"
2023,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,671495,"7,44"
2021,3,INVERSIONES RODRIGUEZ MEJIA S.A.S,328,0
2021,1,GLOBALWIFI SAS,393,0
2023,2,CENTRAL DE SERVICIOS DIGITALES S.A.S.,2029,"0,02"
2020,3,VELONET S.A.S,7111,"0,09"
2021,3,FIBRANETPLUS S.A.S.,515,"0,01"
2021,3,SECO S.A.S.,445,"0,01"
2022,3,INVERSA S.A.S,2261,"0,03"
2022,3,ORGANIZACION DE COMUNICACIONES TELECARIBE S.A.S,248,0
2022,2,CARIBETECH S.A.S.,608,"0,01"
2022,2,CABLETRONICS SAS,19,0
2023,2,HYH COMUNICACIONES S.A.S,19,0
2021,3,AUMRED SAS,20,0
2022,3,TIVIT COLOMBIA TERCERIZACION DE PROCESOS SERVICIOS Y TECNOLOGIA S.A.S,11,0
2023,2,VIMOX TECHNOLOGY AND SERVICE S.A.S.,592,"0,01"
2021,4,CABLE NET UNIVERSAT S.A.S,964,"0,01"
2022,2,CONECTTIC S A S,1965,"0,02"
2022,1,MEGARED COMUNICACIONES S.A.S.,1054,"0,01"
2020,3,BETEL SOLUCIONES S.A.S.,3471,"0,05"
2022,3,INTERCOM TELECOMMUNICATIONS SAS,119,0
2020,4,MACRODESK COMUNICACIONES S.A.S,535,0
2022,3,TELCAB S.A.S,137,0
2020,4,CONNECT TELECOMUNICACIONES SAS,498,"0,01"
2021,4,GLOBAL WEB1 S.A.S,441,"0,01"
2023,2,RADIOSAT ISP SAS,3,0
2020,3,ELECTRONICA Y TELECOMUNICACIONES DE COLOMBIA S. A. S. - ETELCO S. A. S.,213,0
2021,4,TECNOLOGIAS MERCATECH S.A.S,766,"0,01"
2021,4,INFINITICS S.A.S.,1,0
2021,2,EYON RV S.A.S,103,0
2022,3,DAC INGENIERIAS Y CONSULTORIAS S.A.S,10,0
2020,3,ALFANET TV S.A.S,1435,"0,02"
2021,2,SISTEMAS COMPUTARIZADOS DEL HUILA S.A.S.,514,"0,01"
2021,1,CONECTANDO ANDO SAS,173,0
2022,3,VALLETVNET COMUNICACIONES S.A.S.,34,0
2020,3,SOTO NORTE DIGITAL S.A.S ZOMAC,72,0
2022,2,TV COLOMBIA DIGITAL SAS,8973,"0,11"
2021,1,SP SISTEMAS PALACIOS LTDA.,9610,"0,12"
2020,4,MY TELECOMUNICACIONES S.A.S,30,0
2022,2,TORNET COMUNICACIONES S.A.S,986,"0,01"
2020,3,GTD COLOMBIA S.A.S.,265,0
2021,2,ASOCIACION  DE COPROPIETARIOS  DE LA ANTENA PARABOLICA  DE SAN GIL- ASOPARSA TELESANGIL,777,"0,01"
2021,3,SKYNET DE COLOMBIA S.A.S. E.S.P,829,"0,01"
2022,2,BITCOM ISP S.A.S,16,0
2022,3,VOZCOTEL S.A.S,121,0
2020,3,DI. REDES Y COMUNICACIONES S.A.S,24,0
2022,1,TELECOMUNICACIONES ARGENTINA SAS,317,0
2022,2,FIBRA100 S.A.S.,1545,"0,02"
2022,2,JEFFERSON AFE S.A.S,752,"0,01"
2022,1,OSPIREDES S.A.S,448,"0,01"
2020,4,MV COMUNICACIONES DEL VALLE S.A.S,20,0
2023,2,ASOCIACION DE COPROPIETARIOS DE TELEVISION COMUNITARIA DE LA UNION - VALLE UNITV,623,"0,01"
2021,3,WILQUAY COMUNICACIONES 1973 S.A.S,99,0
2021,2,ASONET COLOMBIA LTDA,2511,"0,03"
2020,3,IP COMUNICACIONES Y TECNOLOGIA S.A.S,60,0
2021,4,EJECOM TECNOLOGIA Y REDES DEL EJE CAFETERO S.A.S.,47,0
2021,1,HIZ TELECOMUNICACIONES S.A.S,2208,"0,03"
2021,2,GPON TECHNOLOGY S.A.S,82,0
2021,4,MERNAHF SAS,269,0
2022,1,ALIANZA SERVICIOS TECNOLOGICOS SAS,186,0
2023,2,RED UNO S.A,8,0
2022,1,HOSTDIME.COM.CO S.A.S.,9,0
2021,2,EMPRESA DE TELECOMUNICACIONES DE LA COSTA - COSTATEL S.A ESP,7,0
2022,3,GRUPO SERVINET S.A.S.,524,"0,01"
2020,3,SERVIRED 3D SAS,119,0
2021,1,INTERPLUS TELECOMUNICACIONES SAS,1151,"0,01"
2021,4,INNOVA SOLUCIONES TECNOLOGICAS DE COLOMBIA SAS,572,"0,01"
2022,1,FIESTA TELECOMUNICACIONES SAS,16080,"0,18"
2023,2,TECNOFUTURO 25 S.A.S,96,0
2021,2,COMPA�IA COLOMBIANA DE TELECOMUNICACIONES SAS,872,"0,01"
2023,2,SOMOS NETWORKS COLOMBIA S.A.S. BIC,9001,"0,1"
2021,2,G&C INGENIEROS SAS,103,0
2022,3,COMPUSEB SOLUTIONS SAS,748,"0,01"
2021,3,SOMOS NETWORKS COLOMBIA S.A.S. BIC,138,0
2021,4,MEDIA COMMERCE PARTNERS S.A.,12802,"0,14"
2023,2,ASOCIACION COMUNITARIA ANTENA PARABOLICA SAN RAFAEL,420,0
2020,4,WISP TELECOMUNICACIONES SAS,649,"0,01"
2022,2,GLOBAL DE SERVICIOS COMPANY S.A.S,14,0
2022,3,DIL@NTEL S.A.S.,173,0
2021,3,WIFIMAX NETWORK S.A.S,139,0
2022,3,O4IT COLOMBIA LTDA,34,0
2022,2,PSI TELECOMUNICACIONES DE COLO,1427,"0,02"
2022,3,NETWORK DAT@LINK S.A.S.,641,"0,01"
2020,4,IPSEL S.A.S.,27,0
2022,2,SOLUCIONES DIGITAL CONNECTIONS SAS,201,0
2021,2,INTERDAYK - TV. S.A.S.,125,0
2022,1,DI. REDES Y COMUNICACIONES S.A.S,110,0
2021,3,FIBRAWISP S.A.S,278,0
2021,1,AXESAT S.A.,1967,0
2021,3,MEGANET TELECOMUNICACIONES S.A.S,362,0
2022,2,A Y A RADIOCOMUNICACIONES S.A.S.,1800,"0,02"
2022,1,ASOCIACION ANTENA PARABOLICA AMAGA,684,"0,01"
2022,1,WIRETEL S.A.S.,185,0
2021,3,CABLE ANTENA LTDA,271,0
2023,2,DANHER REDES Y SERVICIOS S.A.S.,687,"0,01"
2022,1,SINURED SOLUCIONES S.A.S.,450,"0,01"
2021,2,CAMPOCOM SAS,216,0
2022,1,IPCOM SISTEMAS S.A.S,362,0
2023,2,CORPORACION ANTENA PARABOLICA BARRIO EL SALVADOR,75,0
2021,1,MAZCSYSTEM COMUNICACIONES SAS,131,0
2022,3,GLOBAL CONNECTION TICS TICS S.A.S,4,0
2021,3,WIFAO COLOMBIA S.A.S.,309,0
2021,3,AT�T GLOBAL NETWORK SERVICES COLOMBIA LTDA.,7,0
2021,4,C&C WIFI SAS,382,0
2022,2,ACTIVATE.WEB S.A.S,95,0
2020,4,FUNDACION VISION 20/20 COLOMBIA,77,0
2021,3,EMPRESA PRESTADORA DE SERVICIOS DE INTERNET Y TELEVISION SUR DE BOLIVAR S.A.S.,674,"0,01"
2021,4,WISP INTEGRADORES S.A.S,125,0
2020,4,RADIOSAT ISP SAS,2,0
2021,3,CABLE NET UNIVERSAT S.A.S,1050,"0,01"
2022,1,CORPORACION ANTENA PARABOLICA GALAXIA EL PE�OL,4320,"0,05"
2023,2,DIALNET DE COLOMBIA S.A   ESP.,65832,"0,73"
2021,3,CORPORACION ANTENA PARABOLICA BARRIO EL SALVADOR,32,0
2021,1,CABLENET PLUS S.A.S. ZOMAC,1708,"0,02"
2021,4,GARDEN TECHNOLOGY SAS,7267,"0,08"
2022,3,REDESMAS.NET S.A.S,534,"0,01"
2021,3,SERVISKYNET TELECOMUNICACIONES S.A.S.,89,0
2020,3,TV AZTECA SUCURSAL COLOMBIA,439,0
2023,2,INTER LAN COMUNICACIONES S.A.S,121,0
2021,1,REINA CONEXION S.A.S.,18,0
2020,4,CABLE NET UNIVERSAT S.A.S,1086,"0,01"
