ANNO;TRIMESTRE;MODALIDAD;ID_PROVEEDOR;PROVEEDOR; ABONADOS 
2011;1;POSPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;4304255
2011;1;POSPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;2439154
2011;1;POSPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;871001
2011;1;PREPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;25709973
2011;1;PREPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;7531441
2011;1;PREPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;4486225
2011;2;POSPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;4408676
2011;2;POSPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;2529350
2011;2;POSPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;902398
2011;2;PREPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;26274488
2011;2;PREPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;7420004
2011;2;PREPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;4613021
2011;2;PREPAGO;900367669;UFF MOVIL SAS;166772
2011;3;POSPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;4577816
2011;3;POSPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;2652439
2011;3;POSPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;924505
2011;3;PREPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;26619576
2011;3;PREPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;8047568
2011;3;PREPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;4717900
2011;3;PREPAGO;900367669;UFF MOVIL SAS;208108
2011;4;POSPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;4755101
2011;4;POSPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;2764249
2011;4;POSPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;954561
2011;4;PREPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;24063690
2011;4;PREPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;8626823
2011;4;PREPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;4787055
2011;4;PREPAGO;900367669;UFF MOVIL SAS;248942
2012;1;POSPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;4900878
2012;1;POSPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;2856553
2012;1;POSPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;984787
2012;1;PREPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;24119116
2012;1;PREPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;9076423
2012;1;PREPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;4904500
2012;1;PREPAGO;900367669;UFF MOVIL SAS;256918
2012;1;PREPAGO;900092385;UNE EPM TELECOMUNICACIONES S.A.;73610
2012;2;POSPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;5040764
2012;2;POSPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;2918559
2012;2;POSPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;1011795
2012;2;PREPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;24334505
2012;2;PREPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;9439977
2012;2;PREPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;5058675
2012;2;PREPAGO;900367669;UFF MOVIL SAS;271128
2012;2;PREPAGO;900092385;UNE EPM TELECOMUNICACIONES S.A.;81101
2012;3;POSPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;5194566
2012;3;POSPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;2959789
2012;3;POSPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;1031730
2012;3;PREPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;24767235
2012;3;PREPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;9045172
2012;3;PREPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;5323290
2012;3;PREPAGO;900367669;UFF MOVIL SAS;306418
2012;3;PREPAGO;900092385;UNE EPM TELECOMUNICACIONES S.A.;71017
2012;4;POSPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;5351558
2012;4;POSPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;3028424
2012;4;POSPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;1053589
2012;4;PREPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;25019525
2012;4;PREPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;8675208
2012;4;PREPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;5560145
2012;4;PREPAGO;900367669;UFF MOVIL SAS;328663
2012;4;PREPAGO;900092385;UNE EPM TELECOMUNICACIONES S.A.;49247
2013;1;POSPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;5451409
2013;1;POSPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;3069394
2013;1;POSPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;1072786
2013;1;PREPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;22209459
2013;1;PREPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;8446865
2013;1;PREPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;5782365
2013;1;PREPAGO;900367669;UFF MOVIL SAS;343645
2013;1;PREPAGO;900092385;UNE EPM TELECOMUNICACIONES S.A.;89879
2013;1;PREPAGO;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTÁ S.A. ESP.;41654
2013;1;PREPAGO;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;5644
2013;2;POSPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;5519342
2013;2;POSPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;3190050
2013;2;POSPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;1126164
2013;2;PREPAGO;800153993;COMUNICACION CELULAR S A COMCEL S A;22285853
2013;2;PREPAGO;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;8490093
2013;2;PREPAGO;830114921;COLOMBIA MOVIL S.A. E.S.P.;5897598
2013;2;PREPAGO;900367669;UFF MOVIL SAS;376516
