ANNO;TRIMESTRE;MES_DEL_TRIMESTRE;ID_EMPRESA;EMPRESA;INGRESOS_TOTALES;INGRESOS_POSPAGO;INGRESOS_PREPAGO;CONSUMO_PREPAGO_ON;CONSUMO_PREPAGO_OFF
2011;1;0;830016046;AVANTEL S.A.S;21352355073;0;0;0;0
2011;1;0;830114921;COLOMBIA MOVIL  S.A ESP;161083356000;74415757000;86667599000;0;0
2011;1;0;800153993;COMUNICACION CELULAR S A COMCEL S A;1200162880000;682650702000;517512178000;0;0
2011;1;0;830037330;TELEFONICA MOVILES COLOMBIA S.A.;430783387000;347987789000;82795598000;0;0
2011;2;0;830016046;AVANTEL S.A.S;21776191153;0;0;0;0
2011;2;0;830114921;COLOMBIA MOVIL  S.A ESP;167038838000;78848934000;88189904000;0;0
2011;2;0;800153993;COMUNICACION CELULAR S A COMCEL S A;1230711139000;697026384000;533684755000;0;0
2011;2;0;830037330;TELEFONICA MOVILES COLOMBIA S.A.;439503284000;361702685000;77800599000;0;0
2011;2;0;900367669;UFF MOVIL SAS;0;0;0;0;0
2011;3;0;830016046;AVANTEL S.A.S;23056444144;0;0;0;0
2011;3;0;830114921;COLOMBIA MOVIL  S.A ESP;165100602000;78148291000;86952311000;0;0
2011;3;0;800153993;COMUNICACION CELULAR S A COMCEL S A;1280379064000;705599662000;574779402000;0;0
2011;3;0;830037330;TELEFONICA MOVILES COLOMBIA S.A.;458990445000;371750277000;87240168000;0;0
2011;3;0;900367669;UFF MOVIL SAS;0;0;0;0;0
2011;4;0;830016046;AVANTEL S.A.S;22523701603;0;0;0;0
2011;4;0;830114921;COLOMBIA MOVIL  S.A ESP;172222456000;89435806000;82786650000;0;0
2011;4;0;800153993;COMUNICACION CELULAR S A COMCEL S A;1333049250000;698471550000;634577700000;0;0
2011;4;0;830037330;TELEFONICA MOVILES COLOMBIA S.A.;484297837000;398152551000;86145286000;0;0
2011;4;0;900367669;UFF MOVIL SAS;0;0;0;0;0
2012;1;1;830016046;AVANTEL S.A.S;7715716000;7418899000;296817000;0;0
2012;1;1;830114921;COLOMBIA MOVIL  S.A ESP;55912507020;27656045280;28256461750;0;0
